player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Adama Traoré,204103,€8.00m,"Jan 25, 1996",30,1.78,Spain,Right Winger,West Ham,,"Jan 28, 2026","Jun 30, 2026",GB1,25/26
Jackson Tchatchoua,848509,€12.00m,"Sep 14, 2001",24,1.8,Cameroon,Right-Back,Wolves,,"Aug 19, 2025","Jun 30, 2030",GB1,25/26
Curtis Jones,433188,€35.00m,"Jan 30, 2001",25,1.85,England,Central Midfield,Liverpool,,"Jul 1, 2020","Jun 30, 2027",GB1,25/26
Morato,673492,€14.00m,"Jun 30, 2001",24,1.92,Brazil,Centre-Back,Nott'm Forest,,"Aug 30, 2024","Jun 30, 2029",GB1,25/26
Jake O'Brien,711544,€18.00m,"May 15, 2001",25,1.97,Ireland,Right-Back,Everton,,"Jul 30, 2024","Jun 30, 2028",GB1,25/26
Crysencio Summerville,474701,€30.00m,"Oct 30, 2001",24,1.74,Netherlands,Left Winger,West Ham,,"Aug 3, 2024","Jun 30, 2029",GB1,25/26
Roméo Lavia,628451,€25.00m,"Jan 6, 2004",22,1.81,Belgium,Defensive Midfield,Chelsea,,"Aug 18, 2023","Jun 30, 2030",GB1,25/26
Amadou Onana,485706,€45.00m,"Aug 16, 2001",24,1.95,Belgium,Defensive Midfield,Aston Villa,,"Jul 22, 2024","Jun 30, 2029",GB1,25/26
Tammy Abraham,331726,€20.00m,"Oct 2, 1997",28,1.94,England,Centre-Forward,Aston Villa,,"Jan 27, 2026","Jun 30, 2030",GB1,25/26
Moisés Caicedo,687626,€110.00m,"Nov 2, 2001",24,1.78,Ecuador,Defensive Midfield,Chelsea,,"Aug 14, 2023","Jun 30, 2033",GB1,25/26
James Garner,505219,€35.00m,"Mar 13, 2001",25,1.82,England,Defensive Midfield,Everton,,"Sep 1, 2022","Jun 30, 2030",GB1,25/26
Jefferson Lerma,262980,€8.00m,"Oct 25, 1994",31,1.79,Colombia,Defensive Midfield,Crystal Palace,,"Jul 1, 2023","Jun 30, 2026",GB1,25/26
Alex Cairns,194386,€75k,"Jan 4, 1993",33,1.83,England,Goalkeeper,Leeds,,"Jul 8, 2024","Jun 30, 2026",GB1,25/26
Casemiro,16306,€8.00m,"Feb 23, 1992",34,1.85,Brazil,Defensive Midfield,Man Utd,,"Aug 22, 2022","Jun 30, 2026",GB1,25/26
Pau Torres,399776,€22.00m,"Jan 16, 1997",29,1.92,Spain,Centre-Back,Aston Villa,,"Jul 12, 2023","Jun 30, 2028",GB1,25/26
Aaron Ramsdale,427568,€12.00m,"May 14, 1998",28,1.9,England,Goalkeeper,Newcastle,,"Aug 2, 2025","Jun 30, 2026",GB1,25/26
Harrison Reed,226973,€3.00m,"Jan 27, 1995",31,1.81,England,Central Midfield,Fulham,,"Aug 30, 2020","Jun 30, 2027",GB1,25/26
Joachim Andersen,260827,€25.00m,"May 31, 1996",29,1.92,Denmark,Centre-Back,Fulham,,"Aug 23, 2024","Jun 30, 2029",GB1,25/26
Zeki Amdouni,548729,€9.00m,"Dec 4, 2000",25,1.85,Switzerland,Centre-Forward,Burnley,,"Jul 19, 2023","Jun 30, 2028",GB1,25/26
Yasin Ayari,667287,€30.00m,"Oct 6, 2003",22,1.72,Sweden,Central Midfield,Brighton,,"Jan 30, 2023","Jun 30, 2027",GB1,25/26
Neco Williams,503680,€25.00m,"Apr 13, 2001",25,1.83,Wales,Left-Back,Nott'm Forest,,"Jul 10, 2022","Jun 30, 2029",GB1,25/26
Joe Willock,340329,€16.00m,"Aug 20, 1999",26,1.86,England,Central Midfield,Newcastle,,"Aug 13, 2021","Jun 30, 2027",GB1,25/26
Antoni Milambo,683620,€20.00m,"Apr 3, 2005",21,1.79,Netherlands,Attacking Midfield,Brentford,,"Jul 3, 2025","Jun 30, 2030",GB1,25/26
