player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Raíllo,Mallorca,0,0.6311804680153728,1,0.36439406499266624,12,7,4.512468161061406,4.202221794053912,La_liga,25/26
Samú Costa,Mallorca,7,4.27746016997844,2,1.9799835188314319,39,17,9.480698188766837,5.15883654076606,La_liga,25/26
Sergi Darder,Mallorca,1,2.2581017958000302,5,5.54317428637296,36,57,10.62109318934381,7.191008800640702,La_liga,25/26
Takuma Asano,Mallorca,1,2.239371344447136,0,1.018438033759594,17,3,3.7131067626178265,1.4350337330251932,La_liga,25/26
Toni Lato,Mallorca,0,0.0,1,0.4910133834928274,0,4,1.7519583329558372,1.357103642076254,La_liga,25/26
Vedat Muriqi,Mallorca,23,21.630785251036286,1,2.4853103263303638,114,24,18.902257680892944,4.6435397625900805,La_liga,25/26
Zito,Mallorca,0,0.9731584936380386,2,0.9998054932802916,9,9,2.6188953332602978,0.6459314078092575,La_liga,25/26
Abel Bretones,Osasuna,1,0.5832634549587965,2,1.463532455265522,11,13,3.3724373634904623,2.147059232927859,La_liga,25/26
Aimar Oroz,Osasuna,0,1.6443974245339632,2,3.740993956103921,29,37,7.147825986146927,4.407638059929013,La_liga,25/26
Aitor Fernández,Osasuna,0,0.0,0,0.0,0,0,0.10702017694711685,0.10702017694711685,La_liga,25/26
Alejandro Catena,Osasuna,3,2.8552996991202235,2,1.1020762361586094,19,11,5.703319581225514,4.280373828485608,La_liga,25/26
Ante Budimir,Osasuna,17,19.191765047609806,0,1.7123363316059113,103,16,12.536680994555354,1.237377729266882,La_liga,25/26
Asier Osambela,Osasuna,1,0.40813053399324417,0,0.585698839277029,6,3,1.2552912291139364,0.5480579566210508,La_liga,25/26
Enzo Boyomo,Osasuna,1,1.1597838830202818,2,1.4222577046602964,11,9,5.139672014862299,3.7208891063928604,La_liga,25/26
Iker Benito,Osasuna,1,0.3859800510108471,0,0.14492438361048698,2,2,0.672303281724453,0.24680110812187195,La_liga,25/26
Iker Muñoz,Osasuna,0,0.3214873829856515,0,0.252276461571455,9,5,1.885208336636424,1.586097290739417,La_liga,25/26
Iñigo Arguibide,Osasuna,0,0.0,0,0.03171418979763985,0,1,0.13765155244618654,0.1059373626485467,La_liga,25/26
Jon Moncayola,Osasuna,0,2.3341868557035923,4,4.85785942338407,23,39,10.213275477290154,5.148858282715082,La_liga,25/26
Jorge Herrando,Osasuna,0,0.17066956497728825,1,0.6935188174247742,3,2,1.8340701051056385,1.8011348769068718,La_liga,25/26
Juan Cruz,Osasuna,0,0.5461479425430298,0,0.07363276183605194,1,2,1.5106816906481981,1.4370489101856947,La_liga,25/26
Kike Barja,Osasuna,2,1.248927740380168,2,0.6617407351732254,8,10,3.1038959324359894,1.19322744384408,La_liga,25/26
Lucas Torró,Osasuna,0,2.2390968278050423,1,1.2621251428499818,29,15,5.123437849804759,3.7546714833006263,La_liga,25/26
Moi Gómez,Osasuna,0,0.4181990008801222,2,1.9109276719391346,11,16,5.146273463964462,3.1553665651008487,La_liga,25/26
Raul García,Osasuna,7,6.938203576952219,1,1.1225733663886786,39,12,7.228577986359596,1.1627431195229292,La_liga,25/26
Raul Moro,Osasuna,0,0.2312967237085104,2,1.70481850579381,6,9,3.413567554205656,1.6930943839251995,La_liga,25/26
Rubén García,Osasuna,2,2.5968636460602283,5,5.863754561170936,31,45,7.120284520089626,3.8182442067191005,La_liga,25/26
